Gini_Index,Median_Household_Income,Year,State,Region
0.4827,53035,2014,Texas,South
0.4406,54166,2014,Vermont,Northeast
0.4283,60922,2014,Utah,West
0.4658,64902,2014,Virginia,South
0.4542,61366,2014,Washington,West
0.4546,41059,2014,West Virginia,South
0.4397,52622,2014,Wisconsin,Midwest
0.427,57055,2014,Wyoming,West
0.4759,40593,2015,Mississippi,South
0.4634,50238,2015,Missouri,Midwest
0.4623,49509,2015,Montana,West
0.4473,54996,2015,Nebraska,Midwest
0.4548,52431,2015,Nevada,West
0.4347,70303,2015,New Hampshire,Northeast
0.4832,72222,2015,New Jersey,Northeast
0.4795,45382,2015,New Mexico,West
0.5138,60850,2015,New York,Northeast
0.4776,47830,2015,North Carolina,South
0.4664,60557,2015,North Dakota,Midwest
0.4637,51075,2015,Ohio,Midwest
0.4702,48568,2015,Oklahoma,South
0.4622,54148,2015,Oregon,West
0.4685,55702,2015,Pennsylvania,Northeast
0.4732,58073,2015,Rhode Island,Northeast
0.4698,47238,2015,South Carolina,South
0.4436,53017,2015,South Dakota,Midwest
0.4789,47275,2015,Tennessee,South
0.4823,55653,2015,Texas,South
0.4452,56990,2015,Vermont,Northeast
0.4252,62912,2015,Utah,West
0.4681,66262,2015,Virginia,South
0.4561,64129,2015,Washington,West
0.4581,42019,2015,West Virginia,South
0.441,55638,2015,Wisconsin,Midwest
0.4374,60214,2015,Wyoming,West
0.4811,44765,2015,Alabama,South
0.4322,73355,2015,Alaska,West
0.4702,51492,2015,Arizona,West
0.4773,41995,2015,Arkansas,South
0.4876,64500,2015,California,West
0.458,63909,2015,Colorado,West
0.4523,61255,2015,Delaware,South
0.5354,75628,2015,District of Columbia,South
0.4916,71346,2015,Connecticut,Northeast
0.4872,49426,2015,Florida,South
0.4801,51244,2015,Georgia,South
0.4525,48275,2015,Idaho,West
0.4346,73486,2015,Hawaii,West
0.4817,59588,2015,Illinois,Midwest
0.4519,50532,2015,Indiana,Midwest
0.4393,54736,2015,Iowa,Midwest
0.4596,53906,2015,Kansas,Midwest
0.4781,45215,2015,Kentucky,South
0.4909,45727,2015,Louisiana,South
0.4523,51494,2015,Maine,Northeast
0.4524,75847,2015,Maryland,South
0.4848,70628,2015,Massachusetts,Northeast
0.4667,51084,2015,Michigan,Midwest
0.4492,63488,2015,Minnesota,Midwest
0.4828,41754,2016,Mississippi,South
0.4646,51746,2016,Missouri,Midwest
0.4667,50027,2016,Montana,West
0.4477,56927,2016,Nebraska,Midwest
0.4577,55180,2016,Nevada,West
0.4304,70936,2016,New Hampshire,Northeast
0.4813,76126,2016,New Jersey,Northeast
0.4769,46748,2016,New Mexico,West
0.5129,62909,2016,New York,Northeast
0.478,50584,2016,North Carolina,South
